\u0001f3e7, _emoj_atm_ 
\u0001f3e8, _emoj_hotel_ 
\u0001f3e9, _emoj_love_hotel_ 
\u0001f3ea, _emoj_convenience_store_ 
\u0001f3eb, _emoj_school_ 
\u0001f3ec, _emoj_department_store_ 
\u0001f3ed, _emoj_factory_ 
\u0001f3ee, _emoj_izakaya_lantern_ 
\u0001f3ef, _emoj_japanese_castle_ 
\u0001f3f0, _emoj_european_castle_ 
\u0001f400, _emoj_rat_ 
\u0001f401, _emoj_mouse2_ 
\u0001f402, _emoj_ox_ 
\u0001f403, _emoj_water_buffalo_ 
\u0001f404, _emoj_cow2_ 
\u0001f405, _emoj_tiger2_ 
\u0001f406, _emoj_leopard_ 
\u0001f407, _emoj_rabbit2_ 
\u0001f408, _emoj_cat2_ 
\u0001f409, _emoj_dragon_ 
\u0001f40a, _emoj_crocodile_ 
\u0001f40b, _emoj_whale2_ 
\u0001f40c, _emoj_snail_ 
\u0001f40d, _emoj_snake_ 
\u0001f40e, _emoj_racehorse_ 
\u0001f40f, _emoj_ram_ 
\u0001f410, _emoj_goat_ 
\u0001f411, _emoj_sheep_ 
\u0001f412, _emoj_monkey_ 
\u0001f413, _emoj_rooster_ 
\u0001f414, _emoj_chicken_ 
\u0001f415, _emoj_dog2_ 
\u0001f416, _emoj_pig2_ 
\u0001f417, _emoj_boar_ 
\u0001f418, _emoj_elephant_ 
\u0001f419, _emoj_octopus_ 
\u0001f41a, _emoj_shell_ 
\u0001f41b, _emoj_bug_ 
\u0001f41c, _emoj_ant_ 
\u0001f41d, _emoj_bee_ 
\u0001f41e, _emoj_beetle_ 
\u0001f41f, _emoj_fish_ 
\u0001f420, _emoj_tropical_fish_ 
\u0001f421, _emoj_blowfish_ 
\u0001f422, _emoj_turtle_ 
\u0001f423, _emoj_hatching_chick_ 
\u0001f424, _emoj_baby_chick_ 
\u0001f425, _emoj_hatched_chick_ 
\u0001f426, _emoj_bird_ 
\u0001f427, _emoj_penguin_ 
\u0001f428, _emoj_koala_ 
\u0001f429, _emoj_poodle_ 
\u0001f42a, _emoj_dromedary_camel_ 
\u0001f42b, _emoj_camel_ 
\u0001f42c, _emoj_flipper_ 
\u0001f42d, _emoj_mouse_ 
\u0001f42e, _emoj_cow_ 
\u0001f42f, _emoj_tiger_ 
\u0001f430, _emoj_rabbit_ 
\u0001f431, _emoj_cat_ 
\u0001f432, _emoj_dragon_face_ 
\u0001f433, _emoj_whale_ 
\u0001f434, _emoj_horse_ 
\u0001f435, _emoj_monkey_face_ 
\u0001f436, _emoj_dog_ 
\u0001f437, _emoj_pig_ 
\u0001f438, _emoj_frog_ 
\u0001f439, _emoj_hamster_ 
\u0001f43a, _emoj_wolf_ 
\u0001f43b, _emoj_bear_ 
\u0001f43c, _emoj_panda_face_ 
\u0001f43d, _emoj_pig_nose_ 
\u0001f43e, _emoj_paw_prints_ 
\u0001f440, _emoj_eyes_ 
\u0001f442, _emoj_ear_ 
\u0001f443, _emoj_nose_ 
\u0001f444, _emoj_lips_ 
\u0001f445, _emoj_tongue_ 
\u0001f446, _emoj_point_up_2_ 
\u0001f447, _emoj_point_down_ 
\u0001f448, _emoj_point_left_ 
\u0001f449, _emoj_point_right_ 
\u0001f44a, _emoj_facepunch_ 
\u0001f44b, _emoj_wave_ 
\u0001f44c, _emoj_ok_hand_ 
\u0001f44d, _emoj_thumbsup_ 
\u0001f44e, _emoj_-1_ 
\u0001f44f, _emoj_clap_ 
\u0001f450, _emoj_open_hands_ 
\u0001f451, _emoj_crown_ 
\u0001f452, _emoj_womans_hat_ 
\u0001f453, _emoj_eyeglasses_ 
\u0001f454, _emoj_necktie_ 
\u0001f455, _emoj_tshirt_ 
\u0001f456, _emoj_jeans_ 
\u0001f457, _emoj_dress_ 
\u0001f458, _emoj_kimono_ 
\u0001f459, _emoj_bikini_ 
\u0001f45a, _emoj_womans_clothes_ 
\u0001f45b, _emoj_purse_ 
\u0001f45c, _emoj_handbag_ 
\u0001f45d, _emoj_pouch_ 
\u0001f45e, _emoj_shoe_ 
\u0001f45f, _emoj_athletic_shoe_ 
\u0001f460, _emoj_high_heel_ 
\u0001f461, _emoj_sandal_ 
\u0001f462, _emoj_boot_ 
